iter	Logloss
1126	0.2028325878
1127	0.2028111674
1128	0.2027916692
1129	0.2027681384
1130	0.2027416088
1131	0.2027229304
1132	0.2026990189
1133	0.2026829314
1134	0.2026614414
1135	0.2026359583
1136	0.2026131185
1137	0.2025942216
1138	0.2025748459
1139	0.2025553213
1140	0.2025348711
1141	0.202512962
1142	0.2024951453
1143	0.2024718987
1144	0.2024514176
1145	0.2024243669
1146	0.2023932145
1147	0.2023429533
1148	0.2023207359
1149	0.2022998371
1150	0.2022794137
1151	0.2022536745
1152	0.20223289
1153	0.2022122405
1154	0.2021800695
1155	0.2021581792
1156	0.2021372568
1157	0.2021168902
1158	0.2020937473
1159	0.2020707648
1160	0.2020365471
1161	0.2019977926
1162	0.2019798013
1163	0.2019598597
1164	0.2019457101
1165	0.2019254577
1166	0.2019077186
1167	0.2018823717
1168	0.2018620798
1169	0.2018407064
1170	0.2018243742
1171	0.2017855754
1172	0.2017678267
1173	0.2017438951
1174	0.2017188738
1175	0.2017005606
1176	0.2016790159
1177	0.2016503102
1178	0.2016284351
1179	0.2015391405
1180	0.2015142887
1181	0.2014947981
1182	0.201470358
1183	0.2014432067
1184	0.2014257683
1185	0.2014056409
1186	0.201382062
1187	0.2013555084
1188	0.2013285291
1189	0.2013099708
1190	0.2012884357
1191	0.2012658002
1192	0.2012474973
1193	0.2012265989
1194	0.2012028777
1195	0.201181179
1196	0.2011517413
1197	0.2011325161
1198	0.201105056
1199	0.2010841851
1200	0.2010538495
1201	0.2010294396
1202	0.2010078041
1203	0.2009913817
1204	0.2009665521
1205	0.2009312227
1206	0.2009076191
1207	0.2008540417
1208	0.2008343395
1209	0.2008146821
1210	0.2007978961
1211	0.2007787259
1212	0.2007449634
1213	0.2007250929
1214	0.2007021384
1215	0.2006754102
1216	0.2006513171
1217	0.2006239786
1218	0.2006001107
1219	0.2005792612
1220	0.2005624836
1221	0.2005467746
1222	0.2005295116
1223	0.2005033185
1224	0.2004840034
1225	0.2004597806
1226	0.2004405654
1227	0.2004122651
1228	0.2003889337
1229	0.2003712838
1230	0.2003515043
1231	0.200334839
1232	0.2003154451
1233	0.200297463
1234	0.2002659199
1235	0.2002406874
1236	0.2002140771
1237	0.2001939347
1238	0.200170094
1239	0.2001498054
1240	0.2001371792
1241	0.2001112523
1242	0.2000877783
1243	0.2000433262
1244	0.200024479
1245	0.200007532
1246	0.1999734326
1247	0.1999547193
1248	0.1999354621
1249	0.1999107776
1250	0.1998863324
1251	0.1998649979
1252	0.1998412546
1253	0.1998156996
1254	0.1997897432
1255	0.1997727356
1256	0.1997550158
1257	0.1996304291
1258	0.1996096214
1259	0.1995794982
1260	0.1995589715
1261	0.1995389196
1262	0.1995246526
1263	0.1995014731
1264	0.1994777691
1265	0.1994588422
1266	0.1994332327
1267	0.1994132423
1268	0.1993920442
1269	0.1993725494
1270	0.1993530506
1271	0.1993238188
1272	0.199299109
1273	0.1992878313
1274	0.1992656731
1275	0.1992400946
1276	0.1992123141
1277	0.1991945604
1278	0.1991794787
1279	0.1991629545
1280	0.1991345269
1281	0.1991180009
1282	0.1991026395
1283	0.1990789044
1284	0.1990595125
1285	0.1990428906
1286	0.199014304
1287	0.1989916762
1288	0.1989769832
1289	0.1989568381
1290	0.1989365018
1291	0.1989154616
1292	0.1988928839
1293	0.1988646161
1294	0.1988287842
1295	0.1988118109
1296	0.1987947567
1297	0.1987735574
1298	0.1987492198
1299	0.1987285702
1300	0.1987065081
1301	0.198687835
1302	0.1986742832
1303	0.1986552179
1304	0.1986332964
1305	0.198614755
1306	0.1985950432
1307	0.1985745355
1308	0.1985560047
1309	0.1985314341
1310	0.1985013963
1311	0.1984829697
1312	0.19846619
1313	0.1984464573
1314	0.1984300613
1315	0.1984089691
1316	0.198390194
1317	0.1983660176
1318	0.1983503656
1319	0.1983293601
1320	0.1983011271
1321	0.198281338
1322	0.1982570952
1323	0.1982432682
1324	0.1982213117
1325	0.1981951438
1326	0.1981753494
1327	0.1981551141
1328	0.198132966
1329	0.1981127799
1330	0.1980955383
1331	0.1980718889
1332	0.1980581627
1333	0.1980417639
1334	0.1980228305
1335	0.198003671
1336	0.1979859806
1337	0.1979500563
1338	0.1979323266
1339	0.1978989678
1340	0.1978750418
1341	0.1978564749
1342	0.1978383068
1343	0.1978145656
1344	0.1977913878
1345	0.1977746194
1346	0.1977527618
1347	0.197737045
1348	0.197706388
1349	0.1976833948
1350	0.1976651046
1351	0.1976431585
1352	0.1976244731
1353	0.1975974815
1354	0.1975824887
1355	0.1975622383
1356	0.1975083094
1357	0.1974874657
1358	0.1974661553
1359	0.1974496889
1360	0.1974234587
1361	0.1974028034
1362	0.1973782238
1363	0.1973595953
1364	0.1973300479
1365	0.197308066
1366	0.1972928984
1367	0.1972772925
1368	0.1972477441
1369	0.197233251
1370	0.1972149121
1371	0.1971958329
1372	0.1971816951
1373	0.197164516
1374	0.1971434501
1375	0.1971241036
1376	0.1970965288
1377	0.1970680553
1378	0.1970477408
1379	0.1970234699
1380	0.1970017457
1381	0.1969901525
1382	0.19695811
1383	0.1969167839
1384	0.1968958467
1385	0.1968724158
1386	0.1968576182
1387	0.1968309484
1388	0.1968132356
1389	0.1967911659
1390	0.1967693614
1391	0.1967425564
1392	0.1967194442
1393	0.1967017152
1394	0.1966764465
1395	0.1966516466
1396	0.1966023954
1397	0.1965826306
1398	0.1965653987
1399	0.1965494415
1400	0.1965261724
1401	0.1965073032
1402	0.1964903536
1403	0.1964782639
1404	0.1964400823
1405	0.1964255245
1406	0.1964096172
1407	0.1963833133
1408	0.196369968
1409	0.1963490704
1410	0.1963307832
1411	0.1963063138
1412	0.1962865824
1413	0.1962718367
1414	0.1962526389
1415	0.1962363213
1416	0.1962152733
1417	0.1961956732
1418	0.1961756385
1419	0.1961596115
1420	0.196140155
1421	0.1961170071
1422	0.1961033689
1423	0.1960830395
1424	0.1960706385
1425	0.1960544438
1426	0.1960357272
1427	0.1960143487
1428	0.1959946775
1429	0.1959827259
1430	0.1959569886
1431	0.1959376351
1432	0.1959229942
1433	0.1959051684
1434	0.1958828343
1435	0.195867924
1436	0.1958509574
1437	0.1958260079
1438	0.1958008564
1439	0.195787659
1440	0.1957044436
1441	0.1956874484
1442	0.1956733362
1443	0.1956529386
1444	0.1956312237
1445	0.195615951
1446	0.1955942419
1447	0.1955734016
1448	0.1955597408
1449	0.1955423757
1450	0.1955213662
1451	0.1955029
1452	0.1954762638
1453	0.195453987
1454	0.1954369363
1455	0.1954187098
1456	0.1953968441
1457	0.195375871
1458	0.1953621866
1459	0.1953342528
1460	0.1953251005
1461	0.1953129236
1462	0.1952921238
1463	0.1952804141
1464	0.1952572528
1465	0.1952357162
1466	0.1952116579
1467	0.1951985609
1468	0.1951816637
1469	0.1951610694
1470	0.195131943
1471	0.1950996309
1472	0.1950816808
1473	0.1950463461
1474	0.1950241595
1475	0.1950078871
1476	0.1949928538
1477	0.1949713549
1478	0.1949158158
1479	0.194888437
1480	0.1948723914
1481	0.1948600667
1482	0.1948378592
1483	0.1948187503
1484	0.1948029945
1485	0.1947830841
1486	0.1947599578
1487	0.1947427958
1488	0.1947280481
1489	0.194711976
1490	0.194693863
1491	0.1946706992
1492	0.1946485907
1493	0.1946309937
1494	0.1946098408
1495	0.1945896931
1496	0.194575702
1497	0.1945597289
1498	0.1945430418
1499	0.1945257518
1500	0.194504195
1501	0.1944833014
1502	0.1944707452
1503	0.1944458048
1504	0.1944291391
1505	0.1944153249
1506	0.1943993215
1507	0.1943825727
1508	0.1943649246
1509	0.1943507588
1510	0.1943397865
1511	0.1943236644
1512	0.1943005432
1513	0.1942819676
